,Authors,Author(s) ID,Title,Affiliations,Authors with affiliations,Author Keywords
45,"lalith pankaj raj g.n., kirubakaran v.",57221994640;57220078917;,Energy Efficiency Enhancement and Climate Change Mitigations of SMEs through Grid-Interactive Solar Photovoltaic System,"Centre for Rural Energy, The Gandhigram Rural Institute-Deemed to Be University, Gandhigram, Tamil Nadu  624 302, India","Lalith Pankaj Raj, G.N., Centre for Rural Energy, The Gandhigram Rural Institute-Deemed to Be University, Gandhigram, Tamil Nadu  624 302, India; Kirubakaran, V., Centre for Rural Energy, The Gandhigram Rural Institute-Deemed to Be University, Gandhigram, Tamil Nadu  624 302, India",
46,"xiao z., bai x., zhao m., luo k., zhou h., ma g., guo t., su l., li j.",57211647080;57208824435;57221998719;57221995198;57222002119;57211639293;57221997840;57222000207;57211647221;,Soil organic carbon storage by shaded and unshaded coffee systems and its implications for climate change mitigation in China,"Dehong Tropical Agriculture Research Institute of Yunnan, Ruili, Yunnan  678600, China","Xiao, Z., Dehong Tropical Agriculture Research Institute of Yunnan, Ruili, Yunnan  678600, China; Bai, X., Dehong Tropical Agriculture Research Institute of Yunnan, Ruili, Yunnan  678600, China; Zhao, M., Dehong Tropical Agriculture Research Institute of Yunnan, Ruili, Yunnan  678600, China; Luo, K., Dehong Tropical Agriculture Research Institute of Yunnan, Ruili, Yunnan  678600, China; Zhou, H., Dehong Tropical Agriculture Research Institute of Yunnan, Ruili, Yunnan  678600, China; Ma, G., Dehong Tropical Agriculture Research Institute of Yunnan, Ruili, Yunnan  678600, China; Guo, T., Dehong Tropical Agriculture Research Institute of Yunnan, Ruili, Yunnan  678600, China; Su, L., Dehong Tropical Agriculture Research Institute of Yunnan, Ruili, Yunnan  678600, China; Li, J., Dehong Tropical Agriculture Research Institute of Yunnan, Ruili, Yunnan  678600, China",climate change; coffee agroecosystems; multiple linear regression; soil carbon storage
47,"khan i., lei h., shah a.a., khan i., muhammad i.",57201022908;57211190362;57193695217;57212037649;56667186300;,"Climate change impact assessment, flood management, and mitigation strategies in Pakistan for sustainable future","Binjiang College of Nanjing University of Information Science & Technology, No. 333, Xishan Road, Wuxi City, Jiangsu Province, China; College of Economics & Management, Northwest A&F University, 3 Taicheng Road, Yangling, Shaanxi  712100, China; School of Management Science and Engineering, Ministry of Education & Collaborative Innovation Centre on Forecast and Evaluation of Meteorological Disasters (CICFEMD), Nanjing University of Information Science &Technology, Nanjing City, Jiangsu Province, China; School of Management, Northwestern Polytechnic University, Xi’an, China; Guangxi Key Laboratory of Agric-Environment and Agric-Products Safety, Agricultural College of Guangxi University, Nanning, 530004, China","Khan, I., Binjiang College of Nanjing University of Information Science & Technology, No. 333, Xishan Road, Wuxi City, Jiangsu Province, China, College of Economics & Management, Northwest A&F University, 3 Taicheng Road, Yangling, Shaanxi  712100, China; Lei, H., College of Economics & Management, Northwest A&F University, 3 Taicheng Road, Yangling, Shaanxi  712100, China; Shah, A.A., School of Management Science and Engineering, Ministry of Education & Collaborative Innovation Centre on Forecast and Evaluation of Meteorological Disasters (CICFEMD), Nanjing University of Information Science &Technology, Nanjing City, Jiangsu Province, China; Khan, I., School of Management, Northwestern Polytechnic University, Xi’an, China; Muhammad, I., Guangxi Key Laboratory of Agric-Environment and Agric-Products Safety, Agricultural College of Guangxi University, Nanning, 530004, China",flood protection; flood risks management; gross domestic product (gdp); impact assessment; sustainable development; urban damage
48,"virtanen p., palmujoki e.",57220453569;12770934300;,Practices of development assistance and climate change mitigation in reshaping the Mozambican REDD+ strategy,"Faculty of Social Sciences, 40014 University of Jyväskylä, Finland; School of Management and Business, 33014 Tampere University, Finland","Virtanen, P., Faculty of Social Sciences, 40014 University of Jyväskylä, Finland; Palmujoki, E., School of Management and Business, 33014 Tampere University, Finland",climate change mitigation; development assistance; landscape approach; mozambique; practice theory; redd+
49,"ahmad d., afzal m.",57204212358;57201570060;,"Impact of climate change on pastoralists’ resilience and sustainable mitigation in Punjab, Pakistan","Department of Management Sciences, Vehari Campus, COMSATS University Islamabad, Vehari, Pakistan; Department of Economics, Preston University Islamabad, Islamabad, Pakistan","Ahmad, D., Department of Management Sciences, Vehari Campus, COMSATS University Islamabad, Vehari, Pakistan; Afzal, M., Department of Economics, Preston University Islamabad, Islamabad, Pakistan",pakistan; pastoralists; punjab; resilience; vulnerability
50,"grubb m., wieners c., yang p.",7006809226;57189499152;57202120869;,Modeling myths: On DICE and dynamic realism in integrated assessment models of climate change mitigation,"UCL Bartlett School of Energy, Environment & Resources, University College London, London, United Kingdom; College of International Studies, Kyung-Hee University, Seoul, South Korea; Institute for Marine and Atmospheric Research, Utrecht University, Utrecht, Netherlands; UCL Bartlett School of Construction and Project Management, University College London, London, United Kingdom","Grubb, M., UCL Bartlett School of Energy, Environment & Resources, University College London, London, United Kingdom, College of International Studies, Kyung-Hee University, Seoul, South Korea; Wieners, C., Institute for Marine and Atmospheric Research, Utrecht University, Utrecht, Netherlands; Yang, P., UCL Bartlett School of Construction and Project Management, University College London, London, United Kingdom",climate change; dice; induced innovation; integrated assessment models; path dependence; pollution abatement control expenditure
51,tsai w.-t.,35238496500;,Forest resource management and its climate-change mitigation policies in Taiwan,"Graduate Institute of Bioresources, National Pingtung University of Science and Technology, Pingtung, 912, Taiwan","Tsai, W.-T., Graduate Institute of Bioresources, National Pingtung University of Science and Technology, Pingtung, 912, Taiwan",carbon sequestration; climate-change mitigation; forestry sector; greenhouse gas emission; taiwan
52,"barrera-hernández l.-f., corral-verdugo v., echeverría-castro s.-b., sotelo-castillo m.-a., ocaña-zúñiga j.",57202189556;55989642100;57213198372;57213187918;57219722127;,"Beliefs, perceived risk, obstacles and intention to act. An explanatory model for mitigation and coping behaviours regarding climate change (Creencias, percepción de riesgo, obstáculos e intención de actuar. Un modelo explicativo de conductas de mitigación y afrontamiento ante el cambio climático)","Instituto Tecnológico de Sonora, Mexico; Universidad de Sonora, Mexico; Universidad de Ciencias y Artes de Chiapas, Mexico","Barrera-Hernández, L.-F., Instituto Tecnológico de Sonora, Mexico; Corral-Verdugo, V., Universidad de Sonora, Mexico; Echeverría-Castro, S.-B., Instituto Tecnológico de Sonora, Mexico; Sotelo-Castillo, M.-A., Instituto Tecnológico de Sonora, Mexico; Ocaña-Zúñiga, J., Universidad de Ciencias y Artes de Chiapas, Mexico",adaptation; climate change; mitigation behaviours
53,"balsara s., jain p.k., ramesh a.",57209293217;7402520507;55823315400;,An integrated methodology to overcome barriers to climate change mitigation strategies: a case of the cement industry in India,"Mechanical and Industrial Engineering Department, Indian Institute of Technology Roorkee, Roorkee, 247667, India; Department of Industrial and Production Engineering, Shri G.S. Institute of Technology and Science, Indore, 452003, India; Indian Institute of Technology (BHU), Varanasi, 221005, India; Department of Management Studies, Indian Institute of Technology Roorkee, Roorkee, 247667, India","Balsara, S., Mechanical and Industrial Engineering Department, Indian Institute of Technology Roorkee, Roorkee, 247667, India, Department of Industrial and Production Engineering, Shri G.S. Institute of Technology and Science, Indore, 452003, India; Jain, P.K., Mechanical and Industrial Engineering Department, Indian Institute of Technology Roorkee, Roorkee, 247667, India, Indian Institute of Technology (BHU), Varanasi, 221005, India; Ramesh, A., Department of Management Studies, Indian Institute of Technology Roorkee, Roorkee, 247667, India",cement; climate change; fuzzy ahp; fuzzy topsis; mitigation strategies
54,"kim j., kang j.",57218511515;57218512037;,Analysis of flood damage in the seoul metropolitan government using climate change scenarios and mitigation technologies,"Department of Landscape Architecture and Rural Systems Engineering, Seoul National University, Seoul, 08826, South Korea; Transdisciplinary Program in Smart City Global Convergence, Seoul National University, Seoul, 08826, South Korea; Research Institute of Agriculture and Life Sciences, Seoul National University, Seoul, 08826, South Korea; Interdisciplinary Program in Landscape Architecture, Seoul National University, Seoul, 08826, South Korea; Interdisciplinary Program in Urban Design, Seoul National University, Seoul, 08826, South Korea","Kim, J., Department of Landscape Architecture and Rural Systems Engineering, Seoul National University, Seoul, 08826, South Korea, Transdisciplinary Program in Smart City Global Convergence, Seoul National University, Seoul, 08826, South Korea; Kang, J., Department of Landscape Architecture and Rural Systems Engineering, Seoul National University, Seoul, 08826, South Korea, Transdisciplinary Program in Smart City Global Convergence, Seoul National University, Seoul, 08826, South Korea, Research Institute of Agriculture and Life Sciences, Seoul National University, Seoul, 08826, South Korea, Interdisciplinary Program in Landscape Architecture, Seoul National University, Seoul, 08826, South Korea, Interdisciplinary Program in Urban Design, Seoul National University, Seoul, 08826, South Korea",climate change scenario; evidence-based planning; flood mitigation; green in-frastructure; huff curves; mitigating technology
55,"jung s.-h., lee s.-h., min j., lee m.-h., ahn j.w.",57217116905;57192514003;57221263613;7409117673;8332940200;,Analysis of the state of the art of international policies and projects on CCU for climate change mitigation with a focus on the cases in Korea,"Department of Earth and Environmental Sciences, Korea University, Seoul, 02841, South Korea; Center for Carbon Mineralization, Mineral Resources Research Division, Korea Institute of Geoscience and Mineral Resources (KIGAM), 124 Gwahak-ro, Yuseong-gu, Daejeon, 34132, South Korea","Jung, S.-H., Department of Earth and Environmental Sciences, Korea University, Seoul, 02841, South Korea; Lee, S.-H., Center for Carbon Mineralization, Mineral Resources Research Division, Korea Institute of Geoscience and Mineral Resources (KIGAM), 124 Gwahak-ro, Yuseong-gu, Daejeon, 34132, South Korea; Min, J., Center for Carbon Mineralization, Mineral Resources Research Division, Korea Institute of Geoscience and Mineral Resources (KIGAM), 124 Gwahak-ro, Yuseong-gu, Daejeon, 34132, South Korea; Lee, M.-H., Department of Earth and Environmental Sciences, Korea University, Seoul, 02841, South Korea; Ahn, J.W., Center for Carbon Mineralization, Mineral Resources Research Division, Korea Institute of Geoscience and Mineral Resources (KIGAM), 124 Gwahak-ro, Yuseong-gu, Daejeon, 34132, South Korea",carbon capture and utilization; ccs; ccu; ccus; climate change
56,von seggern j.,57205340420;,"Understandings, practices and human-environment relationships—a meta-ethnographic analysis of local and indigenous climate change adaptation and mitigation strategies in selected pacific island states","Institute of Social and Cultural Anthropology, Department of Political and Social Sciences, Free University Berlin, Berlin, 14195, Germany","von Seggern, J., Institute of Social and Cultural Anthropology, Department of Political and Social Sciences, Free University Berlin, Berlin, 14195, Germany",anthropology of climate change; climate change adaptation and mitigation; local and indigenous knowledge systems; meta-ethnography; south pacific island states
57,"sihvonen m., pihlainen s., lai t.-y., salo t., hyytiäinen k.",57201590430;55808700400;57201459092;7005952994;55919110400;,"Crop production, water pollution, or climate change mitigation—Which drives socially optimal fertilization management most?","University of Helsinki, Finland; Natural Resources Institute Finland (Luke), Finland","Sihvonen, M., University of Helsinki, Finland; Pihlainen, S., University of Helsinki, Finland; Lai, T.-Y., University of Helsinki, Finland; Salo, T., Natural Resources Institute Finland (Luke), Finland; Hyytiäinen, K., University of Helsinki, Finland",carbon sequestration; climate change; crop production; soil carbon; soil nitrogen; water pollution
58,"birkenberg a., narjes m.e., weinmann b., birner r.",57201678551;57126268300;57218910974;6603688978;,The potential of carbon neutral labeling to engage coffee consumers in climate change mitigation,"Division of Social and Institutional Change in Agricultural Development, Institute of Agricultural Sciences in the Tropics (Hans-Ruthenberg-Institute), University of Hohenheim, Wollgrasweg 43, Stuttgart, D-70599, Germany; Department of Production Theory and Resource Economics, Institute of Farm Management, University of Hohenheim, Schloß-Osthof-Südflügel, Schwerzstr. 44, Stuttgart, D-70593, Germany","Birkenberg, A., Division of Social and Institutional Change in Agricultural Development, Institute of Agricultural Sciences in the Tropics (Hans-Ruthenberg-Institute), University of Hohenheim, Wollgrasweg 43, Stuttgart, D-70599, Germany; Narjes, M.E., Department of Production Theory and Resource Economics, Institute of Farm Management, University of Hohenheim, Schloß-Osthof-Südflügel, Schwerzstr. 44, Stuttgart, D-70593, Germany; Weinmann, B., Division of Social and Institutional Change in Agricultural Development, Institute of Agricultural Sciences in the Tropics (Hans-Ruthenberg-Institute), University of Hohenheim, Wollgrasweg 43, Stuttgart, D-70599, Germany; Birner, R., Division of Social and Institutional Change in Agricultural Development, Institute of Agricultural Sciences in the Tropics (Hans-Ruthenberg-Institute), University of Hohenheim, Wollgrasweg 43, Stuttgart, D-70599, Germany",agri-food sector; carbon neutral label; certification; climate change mitigation; coffee value chain; willingness to pay
59,"michaelowa a., hoch s., weber a.-k., kassaye r., hailu t.",6701381813;56519536900;57202739268;57218374448;57218376785;,Mobilising private climate finance for sustainable energy access and climate change mitigation in Sub-Saharan Africa,"Perspectives Climate Research, Freiburg, Germany; Department of Political Science, University of Zurich, Zurich, Switzerland; IPE Global Ltd., Addis Ababa, Ethiopia","Michaelowa, A., Perspectives Climate Research, Freiburg, Germany, Department of Political Science, University of Zurich, Zurich, Switzerland; Hoch, S., Perspectives Climate Research, Freiburg, Germany; Weber, A.-K., Perspectives Climate Research, Freiburg, Germany; Kassaye, R., Perspectives Climate Research, Freiburg, Germany; Hailu, T., IPE Global Ltd., Addis Ababa, Ethiopia",climate finance; energy access; nationally determined contributions; private actors; renewable energy; sub-saharan africa
60,"rosse caldas l., bernstad saraiva a., andreola v.m., dias toledo filho r.",57218711501;57189251773;57218770082;57216445688;,Bamboo bio-concrete as an alternative for buildings’ climate change mitigation and adaptation,"Civil Engineering Program, COPPE, Universidade Federal do Rio de Janeiro, Cidade Universitária, Ilha do Fundão, Rio de Janeiro, RJ  CEP 21941-972, Brazil","Rosse Caldas, L., Civil Engineering Program, COPPE, Universidade Federal do Rio de Janeiro, Cidade Universitária, Ilha do Fundão, Rio de Janeiro, RJ  CEP 21941-972, Brazil; Bernstad Saraiva, A., Civil Engineering Program, COPPE, Universidade Federal do Rio de Janeiro, Cidade Universitária, Ilha do Fundão, Rio de Janeiro, RJ  CEP 21941-972, Brazil; Andreola, V.M., Civil Engineering Program, COPPE, Universidade Federal do Rio de Janeiro, Cidade Universitária, Ilha do Fundão, Rio de Janeiro, RJ  CEP 21941-972, Brazil; Dias Toledo Filho, R., Civil Engineering Program, COPPE, Universidade Federal do Rio de Janeiro, Cidade Universitária, Ilha do Fundão, Rio de Janeiro, RJ  CEP 21941-972, Brazil",bio-based; biogenic carbon; brazil; decarbonization of matrix; dlca; dynamic simulation; future weather data; ghg emissions
61,"garcía a.m., santé i., loureiro x., miranda d.",57207401747;6504450302;57216499742;57205590085;,Spatial planning of green infrastructure for mitigation and adaptation to climate change at a regional scale,"Land Laboratory, Department of Agroforestry Engineering, University of Santiago de Compostela, Lugo, 27002, Spain","García, A.M., Land Laboratory, Department of Agroforestry Engineering, University of Santiago de Compostela, Lugo, 27002, Spain; Santé, I., Land Laboratory, Department of Agroforestry Engineering, University of Santiago de Compostela, Lugo, 27002, Spain; Loureiro, X., Land Laboratory, Department of Agroforestry Engineering, University of Santiago de Compostela, Lugo, 27002, Spain; Miranda, D., Land Laboratory, Department of Agroforestry Engineering, University of Santiago de Compostela, Lugo, 27002, Spain",climate change; green infrastructure delineation; green infrastructure zoning; multi-criteria evaluation; multifunctional green infrastructure
62,"chatziioannou i., bakogiannis e., kyriakidis c., alvarez-icaza l.",55913011800;56850354100;57194462292;7801510356;,A prospective study for the mitigation of the climate change effects: The case of the north Aegean region of Greece,"Instituto de Ingeniería, Universidad Nacional Autónoma de México, México D.F., 04510, Mexico; Department of Geography and Regional Planning, School of Rural and Surveying Engineering, National Technical University of Athens, Athens, 15780, Greece","Chatziioannou, I., Instituto de Ingeniería, Universidad Nacional Autónoma de México, México D.F., 04510, Mexico; Bakogiannis, E., Department of Geography and Regional Planning, School of Rural and Surveying Engineering, National Technical University of Athens, Athens, 15780, Greece; Kyriakidis, C., Department of Geography and Regional Planning, School of Rural and Surveying Engineering, National Technical University of Athens, Athens, 15780, Greece; Alvarez-Icaza, L., Instituto de Ingeniería, Universidad Nacional Autónoma de México, México D.F., 04510, Mexico",adaptation policies; climate change; micmac method; north aegean region; prospective studies; resilience; structural analysis
63,"akimoto h., nagashima t., tanimoto h., klimont z., amann m.",55673012400;24470422300;35270245200;42662973900;34568413600;,An empirical approach toward the SLCP reduction targets in Asia for the mid-term climate change mitigation,"National Institute for Environmental Studies, 16-2 Onogawa, Tsukuba, Ibaraki  305-8506, Japan; International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria","Akimoto, H., National Institute for Environmental Studies, 16-2 Onogawa, Tsukuba, Ibaraki  305-8506, Japan; Nagashima, T., National Institute for Environmental Studies, 16-2 Onogawa, Tsukuba, Ibaraki  305-8506, Japan; Tanimoto, H., National Institute for Environmental Studies, 16-2 Onogawa, Tsukuba, Ibaraki  305-8506, Japan; Klimont, Z., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria; Amann, M., International Institute for Applied Systems Analysis, Schlossplatz 1, Laxenburg, A-2361, Austria",asian emission control; ch4; nmvoc; nox; slcp
64,"mbaabu p.r., olago d., gichaba m., eckert s., eschen r., oriaso s., choge s.k., linders t.e.w., schaffner u.",56190605900;6602432331;36474676600;35145631500;12788254200;57198780317;16506134900;57191492706;57202939361;,"Restoration of degraded grasslands, but not invasion by Prosopis juliflora, avoids trade-offs between climate change mitigation and other ecosystem services","Kenya Forestry Research Institute (KEFRI), Baringo Sub-Centre, P.O. Box 57-30403, Marigat, Kenya; Institute for Climate Change and Adaptation (ICCA), University of Nairobi, P.O. Box 30197-00100, GPO, Nairobi, Kenya; Faculty of Humanities and Social Sciences, Chuka University, P.O. Box 109-60400, Chuka, Kenya; Centre for Development and Environment (CDE), University of Bern, Mittelstrasse 43, Bern, Switzerland; CABI, Rue des Grillons 1, Delémont, Switzerland; Institute of Plant Sciences, University of Bern, Altenbergrain 21, Bern, Switzerland; Senckenberg Biodiversity and Climate Research Centre (SBiK-F), Senckenberganlage 25, Frankfurt am Main, 60325, Germany","Mbaabu, P.R., Kenya Forestry Research Institute (KEFRI), Baringo Sub-Centre, P.O. Box 57-30403, Marigat, Kenya, Institute for Climate Change and Adaptation (ICCA), University of Nairobi, P.O. Box 30197-00100, GPO, Nairobi, Kenya, Faculty of Humanities and Social Sciences, Chuka University, P.O. Box 109-60400, Chuka, Kenya; Olago, D., Institute for Climate Change and Adaptation (ICCA), University of Nairobi, P.O. Box 30197-00100, GPO, Nairobi, Kenya; Gichaba, M., Institute for Climate Change and Adaptation (ICCA), University of Nairobi, P.O. Box 30197-00100, GPO, Nairobi, Kenya; Eckert, S., Centre for Development and Environment (CDE), University of Bern, Mittelstrasse 43, Bern, Switzerland; Eschen, R., CABI, Rue des Grillons 1, Delémont, Switzerland; Oriaso, S., Institute for Climate Change and Adaptation (ICCA), University of Nairobi, P.O. Box 30197-00100, GPO, Nairobi, Kenya; Choge, S.K., Kenya Forestry Research Institute (KEFRI), Baringo Sub-Centre, P.O. Box 57-30403, Marigat, Kenya; Linders, T.E.W., CABI, Rue des Grillons 1, Delémont, Switzerland, Institute of Plant Sciences, University of Bern, Altenbergrain 21, Bern, Switzerland, Senckenberg Biodiversity and Climate Research Centre (SBiK-F), Senckenberganlage 25, Frankfurt am Main, 60325, Germany; Schaffner, U., CABI, Rue des Grillons 1, Delémont, Switzerland",
65,"jiang c., zheng s., ng a.k.y., ge y.-e., fu x.",55558034100;8911483600;57218106939;7201735908;35264384400;,The climate change strategies of seaports: Mitigation vs. adaptation,"Asper School of Business, University of Manitoba, Winnipeg, MB  R3T 2N2, Canada; College of Transport and Communications, Shanghai Maritime University, Shanghai, China; St. John's College, University of Manitoba, Winnipeg, MB  R3T 2N2, Canada; Department of Industrial and Systems Engineering, Hong Kong Polytechnic University, Hong Kong","Jiang, C., Asper School of Business, University of Manitoba, Winnipeg, MB  R3T 2N2, Canada; Zheng, S., College of Transport and Communications, Shanghai Maritime University, Shanghai, China; Ng, A.K.Y., St. John's College, University of Manitoba, Winnipeg, MB  R3T 2N2, Canada; Ge, Y.-E., College of Transport and Communications, Shanghai Maritime University, Shanghai, China; Fu, X., Department of Industrial and Systems Engineering, Hong Kong Polytechnic University, Hong Kong",climate change adaptation; climate change mitigation; seaport; strategic complement; strategic substitute
66,"böhm r., gürerk ö., lauer t.",36674515300;15033259400;55649996600;,Nudging climate change mitigation: A laboratory experiment with inter-generational public goods,"Department of Psychology, Department of Economics, Copenhagen Center for Social Data Science (SODAS), University of Copenhagen, Øster Farimagsgade 2a, Copenhagen K, 1353, Denmark; Faculty of Law, Social Sciences, & Economics, University of Erfurt, Nordhäuser Str. 63, Erfurt, 99089, Germany; Erfurt Laboratory for Empirical Research, University of Erfurt, Nordhäuser Str. 63, Erfurt, 99089, Germany","Böhm, R., Department of Psychology, Department of Economics, Copenhagen Center for Social Data Science (SODAS), University of Copenhagen, Øster Farimagsgade 2a, Copenhagen K, 1353, Denmark; Gürerk, Ö., Faculty of Law, Social Sciences, & Economics, University of Erfurt, Nordhäuser Str. 63, Erfurt, 99089, Germany; Lauer, T., Erfurt Laboratory for Empirical Research, University of Erfurt, Nordhäuser Str. 63, Erfurt, 99089, Germany",climate change; experiment; inter-generational; nudging; social dilemma
67,"daioglou v., muratori m., lamers p., fujimori s., kitous a., köberle a.c., bauer n., junginger m., kato e., leblanc f., mima s., wise m., van vuuren d.p.",54683567900;39461833000;56725416400;36971176800;24776056900;56659375700;23466205000;57195636600;7102677917;57204120836;35122785800;7202820832;7003501910;,Implications of climate change mitigation strategies on international bioenergy trade,"PBL Netherlands Environmental Assessment Agency, PO Box 30314, The Hague, 2500 GH, Netherlands; Copernicus Institute of Sustainable Development, Utrecht University, Princetonlaan 8a, Utrecht, 3584 CB, Netherlands; National Renewable Energy Laboratory, Golden, CO, United States; Department of Environmental Engineering, Kyoto University, Kyoto, Japan; National Institute for Environmental Studies, Center for Social and Environmental Systems Research, Tsukuba, Ibaraki, 305-8506, Japan; Joint Research Centre of the European Commission, Seville, Spain; Energy Planning Program, Graduate School of Engineering, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Potsdam Institute for Climate Impact Research (PIK), Potsdam, Germany; The Institute of Applied Energy, Minato, Tokyo, 105-0003, Japan; International Research Center on the Environment and Development (CIRED), Nogent-sur-Marne, France; GAEL, CNRS, Grenoble INP, INRA, Univ. Grenoble Alpes, Saint Martin d’Hères, 38400, France; Joint Global Change Research Institute, Pacific Northwest National Laboratory and the University of Maryland, College Park, United States","Daioglou, V., PBL Netherlands Environmental Assessment Agency, PO Box 30314, The Hague, 2500 GH, Netherlands, Copernicus Institute of Sustainable Development, Utrecht University, Princetonlaan 8a, Utrecht, 3584 CB, Netherlands; Muratori, M., National Renewable Energy Laboratory, Golden, CO, United States; Lamers, P., National Renewable Energy Laboratory, Golden, CO, United States; Fujimori, S., Department of Environmental Engineering, Kyoto University, Kyoto, Japan, National Institute for Environmental Studies, Center for Social and Environmental Systems Research, Tsukuba, Ibaraki, 305-8506, Japan; Kitous, A., Joint Research Centre of the European Commission, Seville, Spain; Köberle, A.C., Energy Planning Program, Graduate School of Engineering, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Bauer, N., Potsdam Institute for Climate Impact Research (PIK), Potsdam, Germany; Junginger, M., Copernicus Institute of Sustainable Development, Utrecht University, Princetonlaan 8a, Utrecht, 3584 CB, Netherlands; Kato, E., The Institute of Applied Energy, Minato, Tokyo, 105-0003, Japan; Leblanc, F., International Research Center on the Environment and Development (CIRED), Nogent-sur-Marne, France; Mima, S., GAEL, CNRS, Grenoble INP, INRA, Univ. Grenoble Alpes, Saint Martin d’Hères, 38400, France; Wise, M., Joint Global Change Research Institute, Pacific Northwest National Laboratory and the University of Maryland, College Park, United States; van Vuuren, D.P., PBL Netherlands Environmental Assessment Agency, PO Box 30314, The Hague, 2500 GH, Netherlands, Copernicus Institute of Sustainable Development, Utrecht University, Princetonlaan 8a, Utrecht, 3584 CB, Netherlands",bioenergy trade; climate policy; emf; energy security; integrated assessment models; scenario analysis
68,"thomas a., doerflinger n.",55515076200;55919027700;,"Trade union strategies on climate change mitigation: Between opposition, hedging and support","Luxembourg Institute of Socio-Economic Research (LISER), Luxembourg; Federal Institute for Occupational Safety and Health (BAuA), Germany","Thomas, A., Luxembourg Institute of Socio-Economic Research (LISER), Luxembourg; Doerflinger, N., Federal Institute for Occupational Safety and Health (BAuA), Germany",climate policy; concession bargaining; decarbonization; european union; social dialogue; trade union strategy
69,"niamir l., ivanova o., filatova t.",57193718331;57218538182;25640733600;,Economy-wide impacts of behavioral climate change mitigation: Linking agent-based and computable general equilibrium models,"Mercator Research Institute on Global Commons and Climate Change (MCC), Torgauer Str. 12-15, Berlin, 10829, Germany; International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, A-2361, Austria; Department of Governance and Technology for Sustainability (CSTM), University of Twente, Drienerlolaan 5, Enschede, 7522NB, Netherlands; Netherlands Environmental Assessment Agency (PBL), Bezuidenhoutseweg 30, The Hague, 2594 AV, Netherlands; PERSWADE Research Center, School of Systems Management and Leadership, University of Technology Sydney, Broadway 15, Ultimo, NSW  2007, Australia","Niamir, L., Mercator Research Institute on Global Commons and Climate Change (MCC), Torgauer Str. 12-15, Berlin, 10829, Germany, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, A-2361, Austria, Department of Governance and Technology for Sustainability (CSTM), University of Twente, Drienerlolaan 5, Enschede, 7522NB, Netherlands; Ivanova, O., Netherlands Environmental Assessment Agency (PBL), Bezuidenhoutseweg 30, The Hague, 2594 AV, Netherlands; Filatova, T., Department of Governance and Technology for Sustainability (CSTM), University of Twente, Drienerlolaan 5, Enschede, 7522NB, Netherlands, PERSWADE Research Center, School of Systems Management and Leadership, University of Technology Sydney, Broadway 15, Ultimo, NSW  2007, Australia",behavior change; computational economics; environmental modeling; grassroots dynamics; soft linking; upscaling
70,"ménard r., souviron j.",57219097366;57209715335;,Passive solar heating through glazing: The limits and potential for climate change mitigation in the European building stock,"UMR AUSser 3329, Observatoire de la Condition Suburbaine (OCS) de l’École d'architecture de la ville et des territoires Paris-Est, 12 Avenue Blaise Pascal, Champs-sur-Marne, 77420, France; Building, Architecture and Town Planning Department (BATir), Université Libre de Bruxelles (ULB), 50 Av. F.-D. Roosevelt, Brussels, 1050, Belgium","Ménard, R., UMR AUSser 3329, Observatoire de la Condition Suburbaine (OCS) de l’École d'architecture de la ville et des territoires Paris-Est, 12 Avenue Blaise Pascal, Champs-sur-Marne, 77420, France; Souviron, J., Building, Architecture and Town Planning Department (BATir), Université Libre de Bruxelles (ULB), 50 Av. F.-D. Roosevelt, Brussels, 1050, Belgium",
