Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Lu H., Schuldt J.P.","56326726700;25226021600;","Compassion for climate change victims and support for mitigation policy",2016,"Journal of Environmental Psychology","45",,,"192","200",,38,"10.1016/j.jenvp.2016.01.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955257065&doi=10.1016%2fj.jenvp.2016.01.007&partnerID=40&md5=fb552567d12296f48a7c3ade875b2d4f","Department of Communication, Cornell University, United States","Lu, H., Department of Communication, Cornell University, United States; Schuldt, J.P., Department of Communication, Cornell University, United States","The lack of broad public support for climate change mitigation policy hampers efforts to adopt timely approaches to the climate crisis. Echoing prior calls for examining the role of emotions in climate change communication, this study explores effects of compassion on support for government actions to address climate change. A diverse sample of U.S. participants (N = 400) was randomly assigned to different message treatments as part of a 2 (compassion: high or low) × 2 (climate change cue: present or absent) between-subjects factorial design. Results showed that the high-compassion condition elicited greater self-reported compassion and stronger belief that a climate-related humanitarian crisis was caused by human activities, both of which, in turn, mediated increased policy support-particularly among political conservatives and moderates (compared to liberals). Overall, these findings add to the nascent literature examining emotions in climate change public opinion and help inform compassion appeals in climate change communication. © 2016 Elsevier Ltd.","Climate change; Communication; Compassion; Emotional appeals; Policy support",,"Lu, H.; Department of Communication, United States; email: hl896@cornell.edu",,"Academic Press",02724944,,JEPSE,,"English","J. Environ. Psychol.",Article,"Final","",Scopus,2-s2.0-84955257065
"Klausbruckner C., Annegarn H., Henneman L.R.F., Rafaj P.","57008275200;7006972579;55576321700;15051087300;","A policy review of synergies and trade-offs in South African climate change mitigation and air pollution control strategies",2016,"Environmental Science and Policy","57",,,"70","78",,25,"10.1016/j.envsci.2015.12.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950243544&doi=10.1016%2fj.envsci.2015.12.001&partnerID=40&md5=d0ddbb6dceb7e9764ff0b2ca50935930","Johannes Kepler University, Linz, Austria; Energy Institute, Cape Peninsula University of Technology, Cape Town, South Africa; Georgia Institute of Technology, Atlanta, GA, United States; International Institute for Applied Systems Analysis, Laxenburg, Austria","Klausbruckner, C., Johannes Kepler University, Linz, Austria; Annegarn, H., Energy Institute, Cape Peninsula University of Technology, Cape Town, South Africa; Henneman, L.R.F., Georgia Institute of Technology, Atlanta, GA, United States; Rafaj, P., International Institute for Applied Systems Analysis, Laxenburg, Austria","Climate change mitigation and air quality management are mostly addressed separately in South African legal acts and policies. This approach is not always coherent, especially in the context of other serious issues South Africa is facing, such as poverty alleviation. Policies implemented to mitigate climate change might increase negative health affects due to unanticipated outcomes (e.g. increased local air pollution), and these indirect consequences must therefore be taken into account when devising mitigation strategies. However, greenhouse gas mitigation policies can also have co-benefits and positive impacts on local air pollution. An evidence-based approach that takes into account greenhouse gas emissions, ambient air pollutants, economic factors (affordability, cost optimisation), social factors (poverty alleviations, public health benefits), and political acceptability is needed tackle these challenges. A proposal is made that use of an integrated climate/air pollution techno-economic optimising model, such as the Greenhouse Gas and Air Pollution Synergies (GAINS) model, may provide a rational decision support tool to guide policy makers into effective strategies for combined Climate Change and Air Quality mitigation measures. © 2015 Elsevier Ltd.","Air pollution; Climate change; Co-benefits; Contradicting policies; GAINS; South Africa","air pollutant; air pollution; air pollution control; air quality; carbon footprint; climate change; economic aspect; environmental planning; greenhouse gas; human; priority journal; public health; Review; social aspect; South Africa","Klausbruckner, C.; Johannes Kepler UniversityAustria; email: c.klausbruckner@gmx.at",,"Elsevier Ltd",14629011,,ESCPF,,"English","Environ. Sci. Policy",Review,"Final","All Open Access, Green",Scopus,2-s2.0-84950243544
"Song G., Song J., Zhang S.","55537991500;56978391900;7409372259;","Modelling the policies of optimal straw use for maximum mitigation of climate change in China from a system perspective",2016,"Renewable and Sustainable Energy Reviews","55",,,"789","810",,16,"10.1016/j.rser.2015.10.136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948392563&doi=10.1016%2fj.rser.2015.10.136&partnerID=40&md5=15a713d03dd1c2ab6d6b5a80fea29f00","Key Laboratory of Industrial Ecology and Environmental Engineering (MOE), School of Environmental Science and Technology, Dalian University of Technology, Dalian, 116024, China","Song, G., Key Laboratory of Industrial Ecology and Environmental Engineering (MOE), School of Environmental Science and Technology, Dalian University of Technology, Dalian, 116024, China; Song, J., Key Laboratory of Industrial Ecology and Environmental Engineering (MOE), School of Environmental Science and Technology, Dalian University of Technology, Dalian, 116024, China; Zhang, S., Key Laboratory of Industrial Ecology and Environmental Engineering (MOE), School of Environmental Science and Technology, Dalian University of Technology, Dalian, 116024, China","Understanding the competitive uses of straw resources as substitutes for fertilizer nutrients, forage and fossil energy is critical to maximize the mitigation of climate change. Focusing on the mitigation of global warming, we developed an uncertainty model for the optimal use of straw in China based on available studies of life-cycle assessment that have determined the advantages of energy savings and reductions of greenhouse gases (GHGs) of 14 conversion technologies. The current pattern of straw use has saved China 0.75 EJ of energy and has reduced GHGs by 270.76 Mt CO2e on average annually. Among all competitive uses, the use of straw as forage was most environmental friendly, followed by the uses of straw as alternative sources of nutrients and energy. Simulated scenarios for policies of competing straw uses suggested that joint decision-making among administrative departments was vital to maximize the national mitigation of global warming (i.e. 1.84-2.26 EJ of energy saved or reductions of GHGs of 464.89-568.61 Mt CO2e annually) by considering all straw uses comprehensively instead of overemphasizing a single use. © 2015 Elsevier Ltd. All rights reserved.","China; Climate-change mitigation; Life-cycle assessment; Policy decision; Uncertainty optimization","Carbon dioxide; Decision making; Energy conservation; Global warming; Greenhouse gases; Life cycle; Nutrients; China; Climate change mitigation; Conversion technology; Environmental-friendly; Joint decision making; Life Cycle Assessment (LCA); Policy decisions; Uncertainty modeling; Climate change","Song, G.; Key Laboratory of Industrial Ecology and Environmental Engineering (MOE), China; email: gb.song@dlut.edu.cn",,"Elsevier Ltd",13640321,,RSERF,,"English","Renewable Sustainable Energy Rev",Review,"Final","",Scopus,2-s2.0-84948392563
"Schwerhoff G.","55789854600;","The economics of leadership in climate change mitigation",2016,"Climate Policy","16","2",,"196","214",,10,"10.1080/14693062.2014.992297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955337425&doi=10.1080%2f14693062.2014.992297&partnerID=40&md5=a068652867389250ee8f9c87e9459637","Potsdam Institute for Climate Impact Research, PO Box 601203, Potsdam, 14412, Germany","Schwerhoff, G., Potsdam Institute for Climate Impact Research, PO Box 601203, Potsdam, 14412, Germany","Which kind of reaction can a nation or group of nations expect when leading by example in climate policy? This synthesis article describes possible positive reaction mechanisms from different fields of economics, some of which have scarcely been linked to climate economics previously. One effect may be behavioural, a reaction motivated by fairness, reciprocity, or norms. Second, other nations may interpret the leader's action as a signal on his preference or the value of the objective and adjust their own policy based on the new information. Third, the leader may provide a service to other nations, which decreases their costs and risks. The followers could benefit by learning successful policies, adopting technologies, and obtaining information on the cost of environmental policy. All of these mechanisms have in common that the leader sets an example with the intention of motivating others to contribute to the public good. Policy relevance A large body of both theoretical and empirical evidence shows that leading by example in climate change mitigation by a small group of nations has important potential for motivating other nations to follow. Modern economics has identified a range of mechanisms to explain why simple free-riding is unlikely to dominate the reaction to leadership. One such mechanism is described by behavioural economics. Humans often behave as conditional cooperators, meaning that they are willing to do their bit once a leader has done his. A second mechanism is the transmission of a credible signal that the leader considers climate change mitigation to be important. Finally, the leader gains knowledge, which spills over to other countries and thus moves their cost–benefit ratio in favour of mitigation. This evidence implies that leadership provides a promising alternative to stimulate the global cooperation that will eventually be needed to stabilize the climate. © 2015 Taylor & Francis.","climate change; economic leadership; public good provision","climate change; cost-benefit analysis; economic impact; environmental economics; environmental policy; globalization; mitigation; public goods","Schwerhoff, G.; Potsdam Institute for Climate Impact Research, PO Box 601203, Germany; email: schwerhoff@pik-potsdam.de",,"Taylor and Francis Ltd.",14693062,,,,"English","Clim. Policy",Article,"Final","",Scopus,2-s2.0-84955337425
"Zheng J., Jiang P., Qiao W., Zhu Y., Kennedy E.","56742515100;55710473700;56742772700;57221095715;55748818000;","Analysis of air pollution reduction and climate change mitigation in the industry sector of Yangtze River Delta in China",2016,"Journal of Cleaner Production","114",,,"314","322",,45,"10.1016/j.jclepro.2015.07.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938224238&doi=10.1016%2fj.jclepro.2015.07.011&partnerID=40&md5=59851e652d8556b01adf9b63fa3537b5","Department of Environmental Science and Engineering, Fudan Tyndall Centre, Fudan University, Shanghai, 200433, China; Faculty of Social Sciences, Lund University, Lund, SE-221, Sweden","Zheng, J., Department of Environmental Science and Engineering, Fudan Tyndall Centre, Fudan University, Shanghai, 200433, China; Jiang, P., Department of Environmental Science and Engineering, Fudan Tyndall Centre, Fudan University, Shanghai, 200433, China; Qiao, W., Department of Environmental Science and Engineering, Fudan Tyndall Centre, Fudan University, Shanghai, 200433, China; Zhu, Y., Department of Environmental Science and Engineering, Fudan Tyndall Centre, Fudan University, Shanghai, 200433, China; Kennedy, E., Faculty of Social Sciences, Lund University, Lund, SE-221, Sweden","China is now undergoing a fast process of industrialization, with the industry sector playing an important role in the overall economy. Among the many economic areas in China, Yangtze River Delta (YRD) takes the lead. The macro economy development and energy use status quo of both China and YRD are depicted, the past and current situation of air pollution and GHGs emissions is presented, and detailed national and local policies are reviewed. GAINS-China model is deployed in this study to evaluate the air pollution reduction and climate change mitigation achievements in the industry sector under the current policy of the three areas (i.e. Jiangsu, Zhejiang and Shanghai) in YRD from 2005 to 2030. According to the simulation results, the total population would grow marginally while the economy of YRD will keep booming in the next two decades. The total energy consumption of Jiangsu, Zhejiang and Shanghai in 2030 would be 2.36, 2.61 and 1.81 times that of 2005, with the industry sector still playing the biggest part. SO2 emissions would be well under-control by 2030. The NOX emissions all show steady growing trends, while the PM2.5 emissions show different trends for three areas. The ensemble average years of life lost has a complex correlation with the total population and the PM2.5 concentration. CO2 emissions are still in predominant position among all the GHGs emissions, showing a steady growing trend towards 2030. All GHGs emissions amount in YRD would be 1.76 times that of 2005. The differences among the emissions in the three areas may due to reasons like economy scale, industrial composition, energy structure, and enforcement rate of policy. The uncertainties of this study may come from inaccurate prediction of scenario parameters and the expected policy changes in the future, and the emissions from the restructure of industry should be considered as well. In terms of achieving sustainable industrial development, YRD's governments should restrict the scale of energy-intensive industries, improve the primary energy structure, and take co-benefits concepts and methods more into policy-making processes. © 2015 Elsevier Ltd.","Air pollution; Co-benefits; GAINS-model; GHGs; Industry sector; Yangtze River Delta","Air pollution; Climate change; Climate models; Energy utilization; Greenhouse gases; Industrial emissions; Pollution; River pollution; Rivers; Climate change mitigation; Co benefits; Energy intensive industries; GHGs; Industrial development; Industry sectors; Total energy consumption; Yangtze river delta; Industrial economics","Jiang, P.; Department of Environmental Science and Engineering, China; email: jp338@163.com",,"Elsevier Ltd",09596526,,JCROE,,"English","J. Clean. Prod.",Article,"Final","",Scopus,2-s2.0-84938224238
"Covington H., Thornton J., Hepburn C.","57021400600;57020743500;9741754000;","Global warming: Shareholders must vote for climate-change mitigation",2016,"Nature","530","7589",,"156","",,8,"10.1038/530156a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958064115&doi=10.1038%2f530156a&partnerID=40&md5=4c36610b2cb3ed0a7a74254160422ed2","Alan Turing Institute, London, United Kingdom; University of Oxford, United Kingdom","Covington, H., Alan Turing Institute, London, United Kingdom; Thornton, J.; Hepburn, C., University of Oxford, United Kingdom",[No abstract available],,"climate change; court; financial management; human; investment; Note; priority journal; risk management; economics; environmental planning; France; government; greenhouse effect; investment; legislation and jurisprudence; organization; prevention and control; Congresses as Topic; Environmental Policy; Federal Government; Global Warming; Investments; Paris",,,"Nature Publishing Group",00280836,,NATUA,"26863968","English","Nature",Note,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84958064115
"Saha S., Bauhus J.","55331436600;7004346894;","Trade-offs between climate change adaptation and mitigation objectives for forests in south-western Germany",2016,"Forstarchiv","87","2",,"60","61",,2,"10.4432/0300-4112-87-60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969248547&doi=10.4432%2f0300-4112-87-60&partnerID=40&md5=6866d3922730d5fb930733dc7ec31851","Department of Silviculture, University of Freiburg, Tennenbacher Straße 4, Freiburg i. Br., 79085, Germany","Saha, S., Department of Silviculture, University of Freiburg, Tennenbacher Straße 4, Freiburg i. Br., 79085, Germany; Bauhus, J., Department of Silviculture, University of Freiburg, Tennenbacher Straße 4, Freiburg i. Br., 79085, Germany",[No abstract available],,,"Saha, S.; Department of Silviculture, Tennenbacher Straße 4, Germany; email: somidh.saha@waldbau.uni-freiburg.de",,"Deutscher Landwirtschaftsverlag GmbH",03004112,,,,"English","Forstarch.",Short Survey,"Final","",Scopus,2-s2.0-84969248547
"Marino R., Atzori A.S., D'Andrea M., Iovane G., Trabalza-Marinucci M., Rinaldi L.","8426841400;12804978000;57219784112;7004306536;6603156296;8088048100;","Climate change: Production performance, health issues, greenhouse gas emissions and mitigation strategies in sheep and goat farming",2016,"Small Ruminant Research","135",,,"50","59",,47,"10.1016/j.smallrumres.2015.12.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959137962&doi=10.1016%2fj.smallrumres.2015.12.012&partnerID=40&md5=ec46ecbc24ae82d8cee2d6817d080faa","Department of the Sciences of Agriculture, Food and Environment (SAFE), University of Foggia, Via Napoli 25, Foggia, 71122, Italy; Department of Agricultural Sciences, Unit of Animal Science, University of Sassari, Viale Italia 39, Sassari, 07100, Italy; Department of Agriculture, Environmental and Food, University of Molise, Via De Sanctis snc, Campobasso, 86100, Italy; Department of Veterinary Medicine and Animal Productions, Unit of Parasitology and Parasitic Diseases, University of Naples Federico II, Via Delpino 1, Napoli, 80137, Italy; Department of Veterinary Medicine, University of Perugia, Via San Costanzo 4, Perugia, 06126, Italy","Marino, R., Department of the Sciences of Agriculture, Food and Environment (SAFE), University of Foggia, Via Napoli 25, Foggia, 71122, Italy; Atzori, A.S., Department of Agricultural Sciences, Unit of Animal Science, University of Sassari, Viale Italia 39, Sassari, 07100, Italy; D'Andrea, M., Department of Agriculture, Environmental and Food, University of Molise, Via De Sanctis snc, Campobasso, 86100, Italy; Iovane, G., Department of Veterinary Medicine and Animal Productions, Unit of Parasitology and Parasitic Diseases, University of Naples Federico II, Via Delpino 1, Napoli, 80137, Italy; Trabalza-Marinucci, M., Department of Veterinary Medicine, University of Perugia, Via San Costanzo 4, Perugia, 06126, Italy; Rinaldi, L., Department of Veterinary Medicine and Animal Productions, Unit of Parasitology and Parasitic Diseases, University of Naples Federico II, Via Delpino 1, Napoli, 80137, Italy","Climate change is transforming the planet's ecosystem and threatening the well-being of current and future generations. The livestock sector plays an important role in climate change contributing with a significant share to the anthropogenic greenhouses gases (GHG) emissions. In particular, small ruminant farming plays a crucial socio-economic role in many countries and there is strong interest in measuring and improving environmental performance and production. This review provides an integrated overview on the effect of climate change on small ruminant production and health. Measurement and prediction of sheep and goat emissions and opportunities to mitigate GHG emissions from small ruminants are also discussed. The relationships among climate change, small ruminant production and health and GHG emissions are highlighted using the system thinking of analysis. © 2015 Elsevier B.V.","Animal health; Goat; Greenhouse gas emissions; Mitigation strategies; Sheep; Small ruminants production",,"Marino, R.; Department of the Sciences of Agriculture, Via Napoli 25, Italy; email: rosaria.marino@unifg.it",,"Elsevier B.V.",09214488,,SRURE,,"English","Small Ruminant Res.",Review,"Final","",Scopus,2-s2.0-84959137962
"Kongsager R., Locatelli B., Chazarin F.","55353218800;8611587300;56236804000;","Addressing Climate Change Mitigation and Adaptation Together: A Global Assessment of Agriculture and Forestry Projects",2016,"Environmental Management","57","2",,"271","282",,23,"10.1007/s00267-015-0605-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954377607&doi=10.1007%2fs00267-015-0605-y&partnerID=40&md5=74919156064cbfdf2f1de845ea7d1cc0","UNEP DTU Partnership on Energy, Environment and Sustainable Development, UN City, Marmorvej 51, Copenhagen O, 2100, Denmark; CIFOR, PO Box 1558, Lima, 15024, Peru; CIRAD BSEF, Avenue Agropolis, Montpellier Cedex 5, 34398, France","Kongsager, R., UNEP DTU Partnership on Energy, Environment and Sustainable Development, UN City, Marmorvej 51, Copenhagen O, 2100, Denmark; Locatelli, B., CIFOR, PO Box 1558, Lima, 15024, Peru, CIRAD BSEF, Avenue Agropolis, Montpellier Cedex 5, 34398, France; Chazarin, F., CIFOR, PO Box 1558, Lima, 15024, Peru","Adaptation and mitigation share the ultimate purpose of reducing climate change impacts. However, they tend to be considered separately in projects and policies because of their different objectives and scales. Agriculture and forestry are related to both adaptation and mitigation: they contribute to greenhouse gas emissions and removals, are vulnerable to climate variations, and form part of adaptive strategies for rural livelihoods. We assessed how climate change project design documents (PDDs) considered a joint contribution to adaptation and mitigation in forestry and agriculture in the tropics, by analyzing 201 PDDs from adaptation funds, mitigation instruments, and project standards [e.g., climate community and biodiversity (CCB)]. We analyzed whether PDDs established for one goal reported an explicit contribution to the other (i.e., whether mitigation PDDs contributed to adaptation and vice versa). We also examined whether the proposed activities or expected outcomes allowed for potential contributions to the two goals. Despite the separation between the two goals in international and national institutions, 37 % of the PDDs explicitly mentioned a contribution to the other objective, although only half of those substantiated it. In addition, most adaptation (90 %) and all mitigation PDDs could potentially report a contribution to at least partially to the other goal. Some adaptation project developers were interested in mitigation for the prospect of carbon funding, whereas mitigation project developers integrated adaptation to achieve greater long-term sustainability or to attain CCB certification. International and national institutions can provide incentives for projects to harness synergies and avoid trade-offs between adaptation and mitigation. © 2015, Springer Science+Business Media New York.","Ecosystem services; Emissions; Landscape; Livelihoods; REDD+; Vulnerability","Agriculture; Biodiversity; Carbon; Economic and social effects; Ecosystems; Forestry; Gas emissions; Greenhouse gases; Particulate emissions; Timber; Ecosystem services; Landscape; Livelihoods; REDD; Vulnerability; Climate change; carbon; adaptive management; agricultural practice; biodiversity; climate change; ecosystem service; emission control; forestry practice; project assessment; vulnerability; agriculture; air pollution control; Article; biodiversity; certification; climate change; deforestation; ecosystem restoration; environmental protection; forestry; funding; tropics; agriculture; climate; forestry; procedures; Agriculture; Climate; Climate Change; Conservation of Natural Resources; Forestry","Kongsager, R.; UNEP DTU Partnership on Energy, Marmorvej 51, Denmark; email: ricokongsager@gmail.com",,"Springer New York LLC",0364152X,,EMNGD,"26306792","English","Environ. Manage.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84954377607
"Keary M.","57050284600;","The new prometheans: Technological optimism in climate change mitigation modelling",2016,"Environmental Values","25","1",,"7","28",,10,"10.3197/096327115X14497392134801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954046749&doi=10.3197%2f096327115X14497392134801&partnerID=40&md5=8fef51488c617a867a9ce9055b5b52de","Centre for Preparatory Studies, Nazarbayev University, Block 2, 53 Kabanbay Batyr Avenue, Astana, 010000, Kazakhstan","Keary, M., Centre for Preparatory Studies, Nazarbayev University, Block 2, 53 Kabanbay Batyr Avenue, Astana, 010000, Kazakhstan","Technological change modelling (TCM) is quietly transforming the landscape of environmental debate. It provides a powerful new basis for technological optimism, which has long been a key battleground. The technique is at the heart of mainstream climate change mitigation policies and greatly strengthens environmentalism over ecologism. It seems to show that technological change can solve the problem. I argue that the models employ a flawed understanding of technological change and that policies based on them are a major gamble. The article aims to begin a wider debate on TCM, offering a defence of ecologism rooted in the history of technology and SCOT literatures. © 2016 The White Horse Press.","Ecologism; Social construction of technological change; Sustainable development; Technological change modelling; Technological optimism",,"Keary, M.; Centre for Preparatory Studies, Block 2, 53 Kabanbay Batyr Avenue, Kazakhstan; email: michael.keary@nu.edu.kz",,"White Horse Press",09632719,,,,"English","Environ. Values",Article,"Final","",Scopus,2-s2.0-84954046749
"Damsø T., Kjær T., Christensen T.B.","57035384000;35199686700;55416188600;","Local climate action plans in climate change mitigation - examining the case of Denmark",2016,"Energy Policy","89",,,"74","83",,27,"10.1016/j.enpol.2015.11.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952895770&doi=10.1016%2fj.enpol.2015.11.013&partnerID=40&md5=5cb4f1213465cfd43727915cc2d37f5f","Department of Environmental, Social, and Spatial Change (ENSPAC), Roskilde University (RUC), Building 12.1, P.O.-Box 260, Roskilde, DK-4000, Denmark","Damsø, T., Department of Environmental, Social, and Spatial Change (ENSPAC), Roskilde University (RUC), Building 12.1, P.O.-Box 260, Roskilde, DK-4000, Denmark; Kjær, T., Department of Environmental, Social, and Spatial Change (ENSPAC), Roskilde University (RUC), Building 12.1, P.O.-Box 260, Roskilde, DK-4000, Denmark; Christensen, T.B., Department of Environmental, Social, and Spatial Change (ENSPAC), Roskilde University (RUC), Building 12.1, P.O.-Box 260, Roskilde, DK-4000, Denmark","The article examines the climate action plans (CAPs) of local governments (LGs) in Denmark. Applying a quantitative content analysis approach, all Danish LG action plans within the climate and energy field has been collected and coded, giving insight into the extent of LG CAPs. We assess the extent, targets and scope of LG CAPs and find that Danish LGs are highly involved in mitigation activities with a widespread CAP adoption and an overall high degree of sectoral coverage on base year accounts and action plans, albeit with some significant shortcomings. If current LG CAPs were to form the basis of a decentralised climate governance system, some improvements in target level and sectoral coverage should be implemented. The utilization of regional supporting structures facilitating a gradual improvement seems especially promising. In addition the research points to the significant mitigation potential of considering the full spectrum of local government actors, not simply the pioneers and how local CAPs outside urban pioneers require additional local policy framing to succeed. Focusing on the mutual benefits for national and local actors of an integrated planning system, and the multiple benefits locally, will be key in motivating further action. © 2015 Elsevier Ltd.","Governance; Greenhouse gas; Local governments; Mitigation; Municipalities; Renewable energy","Greenhouse gases; Governance; Local government; Mitigation; Municipalities; Renewable energies; Climate change; action plan; climate change; environmental management; environmental policy; governance approach; greenhouse gas; Denmark","Damsø, T.; Department of Environmental, Building 12.1, P.O.-Box 260, Denmark; email: tnjd@ruc.dk",,"Elsevier Ltd",03014215,,ENPYA,,"English","Energy Policy",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84952895770
"Felton A., Gustafsson L., Roberge J.-M., Ranius T., Hjältén J., Rudolphi J., Lindbladh M., Weslien J., Rist L., Brunet J., Felton A.M.","35767574700;36162879100;7005628097;6603869625;55879457100;8601150700;6603173087;6603707942;23390655200;7202472511;26425882300;","How climate change adaptation and mitigation strategies can threaten or enhance the biodiversity of production forests: Insights from Sweden",2016,"Biological Conservation","194",,,"11","20",,58,"10.1016/j.biocon.2015.11.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949057944&doi=10.1016%2fj.biocon.2015.11.030&partnerID=40&md5=7b678e1dbde827e855f4341c7d46969d","Southern Swedish Forest Research Centre, Swedish University of Agricultural Sciences - SLU, Box 49, Alnarp, 230 53, Sweden; Department of Ecology, Swedish University of Agricultural Sciences - SLU, Box 7044, Uppsala, 750 07, Sweden; Department of Wildlife Fish and Environmental Studies, Swedish University of Agricultural Sciences - SLU, Umeå, 901 83, Sweden; Skogforsk, Uppsala Science Park, Uppsala, 751 83, Sweden; Department of Forest Ecology and Management, Swedish University of Agricultural Sciences - SLU, tSkogsmarksgränd, Umeå, 901 83, Sweden","Felton, A., Southern Swedish Forest Research Centre, Swedish University of Agricultural Sciences - SLU, Box 49, Alnarp, 230 53, Sweden; Gustafsson, L., Department of Ecology, Swedish University of Agricultural Sciences - SLU, Box 7044, Uppsala, 750 07, Sweden; Roberge, J.-M., Department of Wildlife Fish and Environmental Studies, Swedish University of Agricultural Sciences - SLU, Umeå, 901 83, Sweden; Ranius, T., Department of Ecology, Swedish University of Agricultural Sciences - SLU, Box 7044, Uppsala, 750 07, Sweden; Hjältén, J., Department of Wildlife Fish and Environmental Studies, Swedish University of Agricultural Sciences - SLU, Umeå, 901 83, Sweden; Rudolphi, J., Department of Wildlife Fish and Environmental Studies, Swedish University of Agricultural Sciences - SLU, Umeå, 901 83, Sweden; Lindbladh, M., Southern Swedish Forest Research Centre, Swedish University of Agricultural Sciences - SLU, Box 49, Alnarp, 230 53, Sweden; Weslien, J., Skogforsk, Uppsala Science Park, Uppsala, 751 83, Sweden; Rist, L., Department of Forest Ecology and Management, Swedish University of Agricultural Sciences - SLU, tSkogsmarksgränd, Umeå, 901 83, Sweden; Brunet, J., Southern Swedish Forest Research Centre, Swedish University of Agricultural Sciences - SLU, Box 49, Alnarp, 230 53, Sweden; Felton, A.M., Southern Swedish Forest Research Centre, Swedish University of Agricultural Sciences - SLU, Box 49, Alnarp, 230 53, Sweden","Anthropogenic climate change is altering themanagement of production forests. These changes are motivated by the need to adapt to the uncertainties and risks of climate change, and by the need to enlist their carbon storage and sequestration capacity as part of global mitigation efforts. These changes do however raise concerns regarding the potential implications for forest biodiversity. Here we evaluate these concerns by assessing the biodiversity implications of climate change adaptation and mitigation strategies (CCAMS) being implemented in the production forests of Sweden. We do so by identifying biodiversity goals aimed specifically at closing the existing gap between the habitat requirements of forest-dependent species, and the conditions provided by production forests, in terms of tree species composition, forest structures, and spatio-temporal forest patterns. We then use the existing literature to determinewhether and bywhich pathway each CCAMS is likely to bridge or extend this gap. Our results indicate that CCAMS will often come into direct or partial conflict with Swedish biodiversity goals in production forests. Furthermore, some CCAMS which are inconsistent with biodiversity goals, such as logging residue removal, are being implemented more extensively than those which were most consistent with biodiversity goals. We nevertheless challenge the necessity of setting the preservation of forest biodiversity against climate change mitigation and adaptation. Weclarify howCCAMS with negative biodiversity implications may still be implemented without adverse outcomes, if coupled with conservation interventions, or combined with other CCAMS deemed complementary in habitat provision. © 2015.",,,"Felton, A.; Southern Swedish Forest Research Centre, Box 49, Sweden; email: adam.felton@slu.se",,"Elsevier Ltd",00063207,,BICOB,,"English","Biol. Conserv.",Note,"Final","",Scopus,2-s2.0-84949057944
